date_changed,date_checked,on
2017-11-23T01:23:39.631114,2017-11-23T01:23:39.631114,True
2017-11-23T01:43:11.794916,2017-11-23T01:43:01.869954,False
2017-11-24T08:53:12.274126,2017-11-24T08:53:02.361049,True
2017-11-24T16:06:12.337221,2017-11-24T16:06:02.436481,False
2017-11-28T13:26:12.013752,2017-11-28T13:26:02.117926,True
2017-11-29T06:32:12.063327,2017-11-29T06:32:02.164537,False
2017-11-30T08:51:12.388920,2017-11-30T08:51:02.477302,True
2017-12-01T04:16:11.845215,2017-12-01T04:16:02.303250,False
